timestamp_ms,data_bytes,total_data_bytes,sequence,send_time_ms
0.000,1024,1024,0,0
5000.261,1024,2048,1,5000
10000.511,1024,3072,2,10000
15000.714,1024,4096,3,15000
20000.945,1024,5120,4,20000
25001.215,1024,6144,5,25001
30001.448,1024,7168,6,30001
35001.712,1024,8192,7,35001
40002.237,1024,9216,8,40001
45002.495,1024,10240,9,45002
50002.683,1024,11264,10,50002
55002.865,1024,12288,11,55002
60003.069,1024,13312,12,60003
65003.232,1024,14336,13,65003
70003.351,1024,15360,14,70003
75003.496,1024,16384,15,75003
80003.657,1024,17408,16,80003
85003.795,1024,18432,17,85003
90003.996,1024,19456,18,90004
95004.233,1024,20480,19,95004
100004.344,1024,21504,20,100004
105004.558,1024,22528,21,105004
110004.778,1024,23552,22,110004
115005.096,1024,24576,23,115005
120005.555,1024,25600,24,120005
125005.783,1024,26624,25,125005
130006.042,1024,27648,26,130005
135006.254,1024,28672,27,135006
140008.508,1024,29696,28,140008
145008.768,1024,30720,29,145008
150008.973,1024,31744,30,150009
155007.320,1024,32768,31,155007
160007.443,1024,33792,32,160007
165007.693,1024,34816,33,165007
170009.986,1024,35840,34,170009
