timestamp_ms,chunk_bytes,total_bytes
0.000,9,9
5.189,9,18
5.210,512,530
105.750,9,539
105.946,512,1051
206.014,9,1060
206.050,512,1572
306.251,9,1581
306.275,512,2093
406.537,9,2102
406.575,512,2614
506.763,9,2623
506.793,512,3135
606.995,9,3144
607.021,512,3656
707.174,9,3665
707.197,512,4177
807.359,9,4186
807.392,512,4698
907.574,9,4707
907.620,512,5219
1007.832,9,5228
1007.873,512,5740
1108.128,9,5749
1108.181,512,6261
1208.362,9,6270
1208.401,512,6782
1308.713,9,6791
1308.753,512,7303
1408.775,9,7312
1408.920,512,7824
1509.105,9,7833
1509.128,512,8345
1609.326,9,8354
1609.366,512,8866
1709.529,9,8875
1709.589,512,9387
1810.154,9,9396
1810.178,512,9908
1910.308,9,9917
1910.343,512,10429
2010.471,9,10438
2010.501,512,10950
2110.688,9,10959
2110.729,512,11471
2210.843,9,11480
2210.877,512,11992
2311.005,9,12001
2311.023,512,12513
2411.209,9,12522
2411.246,512,13034
2511.536,9,13043
2511.557,512,13555
2611.607,9,13564
2611.723,512,14076
2711.929,9,14085
2711.947,512,14597
2812.144,9,14606
2812.167,512,15118
2912.415,9,15127
2912.439,512,15639
3012.608,9,15648
3012.629,512,16160
3112.781,9,16169
3112.802,512,16681
3213.055,9,16690
3213.085,512,17202
3313.241,9,17211
3313.266,512,17723
3413.521,9,17732
3413.545,512,18244
3513.709,9,18253
3513.742,512,18765
3613.854,9,18774
3613.883,512,19286
3714.127,9,19295
3714.152,512,19807
3814.349,9,19816
3814.380,512,20328
3914.555,9,20337
3914.580,512,20849
4014.719,9,20858
4014.753,512,21370
4114.990,9,21379
4115.011,512,21891
4215.223,9,21900
4215.351,512,22412
4315.554,9,22421
4315.699,512,22933
4415.739,9,22942
4415.784,512,23454
4516.049,9,23463
4516.082,512,23975
4616.478,9,23984
4616.500,512,24496
4716.632,9,24505
4716.657,512,25017
4816.813,9,25026
4816.836,512,25538
4917.033,9,25547
4917.062,512,26059
5017.280,9,26068
5017.316,512,26580
5117.559,9,26589
5117.664,512,27101
5217.761,9,27110
5217.790,512,27622
5318.119,9,27631
5318.156,512,28143
5418.427,9,28152
5418.615,512,28664
5518.700,9,28673
5518.846,512,29185
5619.109,9,29194
5619.139,512,29706
5719.463,9,29715
5719.593,512,30227
5819.815,9,30236
5819.906,512,30748
5920.214,9,30757
5920.247,512,31269
6020.542,9,31278
6020.575,512,31790
6120.885,9,31799
6120.908,512,32311
6221.219,9,32320
6221.259,512,32832
6321.616,9,32841
6321.645,512,33353
6421.829,9,33362
6422.131,512,33874
6522.308,9,33883
6522.346,512,34395
6622.532,9,34404
6622.562,512,34916
6722.676,9,34925
6722.696,512,35437
6822.921,9,35446
6822.947,512,35958
6923.134,9,35967
6923.157,512,36479
7023.307,9,36488
7023.337,512,37000
7123.539,9,37009
7123.580,512,37521
7223.723,9,37530
7223.760,512,38042
7323.889,9,38051
7323.928,512,38563
7424.040,9,38572
7424.072,512,39084
7524.239,9,39093
7524.273,512,39605
7624.453,9,39614
7624.482,512,40126
7724.615,9,40135
7724.630,512,40647
7824.896,9,40656
7824.941,512,41168
7925.052,9,41177
7925.091,512,41689
8025.260,9,41698
8025.302,512,42210
8125.459,9,42219
8125.529,512,42731
8225.674,9,42740
8225.704,512,43252
8325.977,9,43261
8326.011,512,43773
8426.166,9,43782
8426.184,512,44294
8526.637,9,44303
8526.712,512,44815
8626.901,9,44824
8626.976,512,45336
8727.429,9,45345
8727.593,512,45857
8827.790,9,45866
8827.812,512,46378
8927.994,9,46387
8928.026,512,46899
9028.267,9,46908
9028.303,512,47420
9128.556,9,47429
9128.594,512,47941
9228.901,9,47950
9228.962,512,48462
9329.216,9,48471
9329.251,512,48983
9429.485,9,48992
9429.519,512,49504
9529.637,9,49513
9529.660,512,50025
9629.876,9,50034
9629.907,512,50546
9730.124,9,50555
9730.161,512,51067
9830.365,9,51076
9830.406,512,51588
9930.536,9,51597
9930.564,512,52109
10030.857,9,52118
10030.880,512,52630
10131.107,9,52639
10131.162,512,53151
10231.519,9,53160
10231.589,512,53672
10331.682,9,53681
10331.739,512,54193
10431.941,9,54202
10431.975,512,54714
10532.153,9,54723
10532.193,512,55235
10632.401,9,55244
10632.445,512,55756
10732.729,9,55765
10732.779,512,56277
10832.916,9,56286
10832.941,512,56798
10933.063,9,56807
10933.081,512,57319
11033.252,9,57328
11033.304,512,57840
11133.504,9,57849
11133.562,512,58361
11233.782,9,58370
11233.812,512,58882
11334.022,9,58891
