timestamp_ms,chunk_bytes,total_bytes
0.000,9,9
10.054,9,18
10.080,512,530
110.362,9,539
110.467,512,1051
210.590,9,1060
210.605,512,1572
310.884,9,1581
310.923,512,2093
411.112,9,2102
411.131,512,2614
511.207,9,2623
511.246,512,3135
611.322,9,3144
611.352,512,3656
711.470,9,3665
711.485,512,4177
811.584,9,4186
811.604,512,4698
911.767,9,4707
911.787,512,5219
1011.965,9,5228
1012.002,512,5740
1112.226,9,5749
1112.243,512,6261
1212.310,9,6270
1212.344,512,6782
1312.418,9,6791
1312.439,512,7303
1412.726,9,7312
1412.753,512,7824
1512.763,9,7833
1512.796,512,8345
1612.911,9,8354
1612.963,512,8866
1713.129,9,8875
1713.237,512,9387
1813.463,9,9396
1813.511,512,9908
1913.597,9,9917
1913.623,512,10429
2013.749,9,10438
2013.838,512,10950
2114.013,9,10959
2114.061,512,11471
2214.281,9,11480
2214.305,512,11992
2314.455,9,12001
2314.495,512,12513
2414.635,9,12522
2414.675,512,13034
2514.772,9,13043
2514.790,512,13555
2614.983,9,13564
2615.017,512,14076
2715.175,9,14085
2715.204,512,14597
2815.330,9,14606
2815.364,512,15118
2915.530,9,15127
2915.594,512,15639
3015.831,9,15648
3015.873,512,16160
3116.027,9,16169
3116.078,512,16681
3216.211,9,16690
3216.245,512,17202
3316.339,9,17211
3316.362,512,17723
3416.560,9,17732
3416.580,512,18244
3516.654,9,18253
3516.683,512,18765
3616.784,9,18774
3616.841,512,19286
3716.998,9,19295
3717.036,512,19807
3817.254,9,19816
3817.281,512,20328
3917.381,9,20337
3917.425,512,20849
4017.601,9,20858
4017.620,512,21370
4117.911,9,21379
4117.935,512,21891
4218.170,9,21900
4218.288,512,22412
4318.411,9,22421
4318.447,512,22933
4418.595,9,22942
4418.649,512,23454
4518.942,9,23463
4518.976,512,23975
4619.265,9,23984
4619.290,512,24496
4719.310,9,24505
4719.322,512,25017
4819.423,9,25026
4819.436,512,25538
4919.581,9,25547
4919.601,512,26059
5019.717,9,26068
5019.760,512,26580
5119.984,9,26589
5120.005,512,27101
5220.154,9,27110
5220.178,512,27622
5320.354,9,27631
5320.372,512,28143
5420.584,9,28152
5420.629,512,28664
5520.635,9,28673
5520.717,512,29185
5620.969,9,29194
5621.005,512,29706
5721.239,9,29715
5721.257,512,30227
5821.534,9,30236
5821.619,512,30748
5921.710,9,30757
5921.759,512,31269
6021.916,9,31278
6022.009,512,31790
6122.256,9,31799
6122.295,512,32311
6222.328,9,32320
6222.382,512,32832
6322.597,9,32841
6322.619,512,33353
6422.774,9,33362
6422.792,512,33874
6522.897,9,33883
6523.009,512,34395
6623.252,9,34404
6623.279,512,34916
6723.414,9,34925
6723.558,512,35437
6823.609,9,35446
6823.637,512,35958
6923.722,9,35967
6923.750,512,36479
7023.894,9,36488
7023.936,512,37000
7123.981,9,37009
7124.043,512,37521
7224.181,9,37530
7224.227,512,38042
7324.319,9,38051
7324.355,512,38563
7424.466,9,38572
7424.514,512,39084
7524.543,9,39093
7524.582,512,39605
7624.639,9,39614
7624.663,512,40126
7724.745,9,40135
7724.761,512,40647
