timestamp,rtp_timestamp,first_packet_departure,estimated_first_packet_departure,first_packet_arrival,last_packet_arrival,render,encode_ms,pacing_ms,network_ms,estimated_network_ms,decode_ms,frame_construction_delay_ms,inter_frame_delay_ms,inter_frame_departure_ms,frame_jitter_ms,encoded_size,height,width,min_rtt,avail_bw,is_keyframe,frame_type
433182819,4153273181,-1,433182823,433182819,433182819,0,1,0,3968044562142,-4,1,0,59,0,59,1967,320,240,1,31.472,0,delta
433182879,4153278581,-1,433182883,433182879,433182879,0,1,0,3968044562202,-4,1,0,60,0,60,2553,320,240,1,40.848,0,delta
433182940,4153283981,-1,433182943,433182939,433182939,0,1,0,3968044562262,-4,0,0,60,0,60,2351,320,240,1,37.616,0,delta
433183004,4153289741,433183003,433183007,433183004,433183004,0,1,1,1,-3,1,0,65,0,65,2880,320,240,1,46.08,0,delta
433183063,4153295141,433183063,433183067,433183063,433183063,0,1,0,0,-4,1,0,59,60,-1,1756,320,240,1,28.096,0,delta
433183123,4153300541,433183123,433183127,433183123,433183123,0,1,0,0,-4,1,0,60,60,0,2533,320,240,1,40.528,0,delta
433183183,4153305941,433183183,433183187,433183183,433183183,0,1,0,0,-4,1,0,60,60,0,2322,320,240,1,37.152,0,delta
433183244,4153311341,433183242,433183247,433183244,433183244,0,1,0,2,-3,0,0,61,59,2,4356,320,240,1,69.696,0,delta
433183307,4153317101,433183307,433183311,433183307,433183307,0,1,0,0,-4,1,0,63,65,-2,2607,320,240,1,41.712,0,delta
433183368,4153322501,433183367,433183371,433183368,433183368,0,1,1,1,-3,0,0,61,60,1,2430,320,240,1,38.88,0,delta
433183427,4153327901,433183427,433183431,433183427,433183427,0,1,0,0,-4,1,0,59,60,-1,3206,320,240,1,51.296,0,delta
433183488,4153333301,433183488,433183491,433183488,433183488,0,1,0,0,-3,1,0,61,61,0,5390,320,240,1,86.24,0,delta
433183552,4153339061,433183552,433183555,433183551,433183551,0,1,0,-1,-4,1,0,63,64,-1,4102,320,240,1,65.632,0,delta
433183612,4153344461,433183612,433183615,433183612,433183612,0,1,0,0,-3,0,0,61,60,1,3728,320,240,1,59.648,0,delta
