Timestamp(ms),Bitrate(bps),LossRate,State(-1/0/1)
433236725,50000000,0,1
433236749,50000000,0,1
433236774,50000000,0,1
433236775,50000000,0,1
433236799,50000000,0,1
433236824,50000000,0,1
433236826,50000000,0,1
433236849,50000000,0,1
433236873,50000000,0,1
433236877,50000000,0,1
433236899,50000000,0,1
433236924,50000000,0,1
433236928,50000000,0,1
433236948,50000000,0,1
433236974,50000000,0,1
433236979,50000000,0,1
433236999,50000000,0,1
433237023,50000000,0,1
433237029,50000000,0,1
433237049,50000000,0,1
433237074,50000000,0,1
433237080,50000000,0,1
433237098,50000000,0,1
433237124,50000000,0,1
433237131,50000000,0,1
433237149,50000000,0,1
433237173,50000000,0,1
433237181,50000000,0,1
433237198,50000000,0,1
433237224,50000000,0,1
433237232,50000000,0,1
433237249,50000000,0,1
433237274,50000000,0,1
433237283,50000000,0,1
433237299,50000000,0,1
433237323,50000000,0,1
433237333,50000000,0,1
433237348,50000000,0,1
433237374,50000000,0,1
433237383,50000000,0,1
433237398,50000000,0,1
433237424,50000000,0,1
433237433,50000000,0,1
433237449,50000000,0,1
433237473,50000000,0,1
433237484,50000000,0,1
433237499,50000000,0,1
433237523,50000000,0,1
433237535,50000000,0,1
433237549,50000000,0,1
433237574,50000000,0,1
433237586,50000000,0,1
433237599,50000000,0,1
433237623,50000000,0,1
433237636,50000000,0,1
433237648,50000000,0,1
433237674,50000000,0,1
433237687,50000000,0,1
433237698,50000000,0,1
433237724,50000000,0,1
433237729,50000000,0,1
433237738,50000000,0,1
433237748,50000000,0,1
433237774,50000000,0,1
433237788,50000000,0,1
433237799,50000000,0,1
433237823,50000000,0,1
433237839,50000000,0,1
433237848,50000000,0,1
433237873,50000000,0,1
433237890,50000000,0,1
433237899,50000000,0,1
433237923,50000000,0,1
433237941,50000000,0,1
433237949,50000000,0,1
433237974,50000000,0,1
433237991,50000000,0,1
433237998,50000000,0,1
433238023,50000000,0,1
433238041,50000000,0,1
433238049,50000000,0,1
433238074,50000000,0,1
433238092,50000000,0,1
433238098,50000000,0,1
433238124,50000000,0,1
433238142,50000000,0,1
433238149,50000000,0,1
433238173,50000000,0,1
433238193,50000000,0,1
433238199,50000000,0,1
433238224,50000000,0,1
433238244,50000000,0,1
433238248,50000000,0,1
433238273,50000000,0,1
433238294,50000000,0,1
433238299,50000000,0,1
433238323,50000000,0,1
433238345,50000000,0,1
433238349,50000000,0,1
433238375,50000000,0,1
433238396,50000000,0,1
433238399,50000000,0,1
433238423,50000000,0,1
433238446,50000000,0,1
433238449,50000000,0,1
433238474,50000000,0,1
433238496,50000000,0,1
433238499,50000000,0,1
433238524,50000000,0,1
433238547,50000000,0,1
433238548,50000000,0,1
433238556,50000000,0,1
433238574,50000000,0,1
433238597,50000000,0,1
433238599,50000000,0,1
433238624,50000000,0,1
433238648,50000000,0,1
433238648,50000000,0,1
433238673,50000000,0,1
433238698,50000000,0,1
433238699,50000000,0,1
433238723,50000000,0,1
433238749,50000000,0,1
433238749,50000000,0,1
433238773,50000000,0,1
433238799,50000000,0,1
433238800,50000000,0,1
433238823,50000000,0,1
433238849,50000000,0,1
433238851,50000000,0,1
433238874,50000000,0,1
433238899,50000000,0,1
433238902,50000000,0,1
433238923,50000000,0,1
433238948,50000000,0,1
433238953,50000000,0,1
433238974,50000000,0,1
433238998,50000000,0,1
433239003,50000000,0,1
433239024,50000000,0,1
433239048,50000000,0,1
433239053,50000000,0,1
433239074,50000000,0,1
433239099,50000000,0,1
433239104,50000000,0,1
433239124,50000000,0,1
433239148,50000000,0,1
433239155,50000000,0,1
433239173,50000000,0,1
433239198,50000000,0,1
433239205,50000000,0,1
433239223,50000000,0,1
433239248,50000000,0,1
433239255,50000000,0,1
433239273,50000000,0,1
433239299,50000000,0,1
433239307,50000000,0,1
433239324,50000000,0,1
433239348,50000000,0,1
433239358,50000000,0,1
433239374,50000000,0,1
433239398,50000000,0,1
433239408,50000000,0,1
433239424,50000000,0,1
433239448,50000000,0,1
433239458,50000000,0,1
433239474,50000000,0,1
433239499,50000000,0,1
433239509,50000000,0,1
433239523,50000000,0,1
433239548,50000000,0,1
433239560,50000000,0,1
433239573,50000000,0,1
433239598,50000000,0,1
433239610,50000000,0,1
433239624,50000000,0,1
433239648,50000000,0,1
433239660,50000000,0,1
433239673,50000000,0,1
433239685,50000000,0,1
433239699,50000000,0,1
433239711,50000000,0,1
433239723,50000000,0,1
