timestamp_ms,frames_decoded,frames_dropped,frames_received,framerate,jitter_buffer_delay_ms,min_playout_delay_ms,video_width,video_height,total_decode_time_ms,total_bytes_received,bitrates,overall_avg_bitrates,sender_period_bitrate,sender_overall_bitrate,decoder_implementation,period_packets_received,period_packets_lost,loss_ratio,period_packets_discarded,period_fec_packets_received,period_fec_packets_discarded,period_packets_repaired,period_fec_bytes_recv,period_fec_bytes_sent,fec_byte_ratio,period_retx_pkts_recv,period_retx_bytes_recv,period_retx_pkts_sent,period_retx_bytes_sent,retransmission_ratio,period_freeze_count,period_freeze_duration_ms,freeze_time_ratio
433236572,3,0,3,24,48.783,0,480,270,2.1545,22097,543926,543926,0,0,dav1d,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433236773,12,0,12,37,97.764,0,480,270,8.469,55934,1.34675e+06,850707,0,0,dav1d,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433236973,18,0,18,34,97.934,0,480,270,12.485,87763,1.27316e+06,967085,0,2.23736e+06,dav1d,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
433237173,24,0,24,33,98.092,0,480,270,15.479,103556,631720,894652,901920,1.56964e+06,dav1d,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433237373,30,0,30,32,98.228,0,480,270,19.27,123957,816040,880689,820760,1.32001e+06,dav1d,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433237573,36,0,36,30,98.343,0,480,270,22.934,143128,766840,863517,897440,1.21437e+06,dav1d,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433237774,42,0,42,30,98.534,0,480,270,27.6,177576,1.37106e+06,930326,863323,1.14388e+06,dav1d,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433237974,48,0,48,30,98.682,0,480,270,33.481,221678,1.76408e+06,1.02688e+06,1.37792e+06,1.18285e+06,dav1d,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433238174,54,0,54,30,98.819,0,480,270,39.413,273795,2.08468e+06,1.13667e+06,0,1.014e+06,dav1d,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433238374,60,0,60,30,99.089,0,480,270,46.017,334387,2.42368e+06,1.25769e+06,2.77336e+06,1.23378e+06,dav1d,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433238574,66,0,66,30,99.383,0,480,270,53,410521,3.04536e+06,1.41133e+06,0,1.09677e+06,dav1d,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433238775,72,0,72,30,99.648,0,480,270,59.447,476502,2.62611e+06,1.50792e+06,4.05795e+06,1.39407e+06,dav1d,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433238975,78,0,78,30,99.96,0,480,270,65.902,540690,2.56752e+06,1.5856e+06,3.97268e+06,1.62828e+06,dav1d,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433239175,84,0,84,30,100.185,0,480,270,72.454,601866,2.44704e+06,1.64444e+06,2.79336e+06,1.72529e+06,dav1d,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433239375,90,0,90,30,100.537,0,480,270,79.211,663513,2.46588e+06,1.69696e+06,2.57616e+06,1.79069e+06,dav1d,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433239575,96,0,96,30,100.813,0,480,270,86.377,720014,2.26004e+06,1.7308e+06,2.905e+06,1.87022e+06,dav1d,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433239776,102,0,102,30,101.105,0,480,270,93.631,772934,2.10627e+06,1.75219e+06,1.90189e+06,1.87234e+06,dav1d,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433239976,108,0,108,30,101.311,0,480,270,100.451,827767,2.19332e+06,1.77585e+06,1.11948e+06,1.82533e+06,dav1d,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433240176,114,0,114,30,101.537,0,480,270,107.976,890356,2.50356e+06,1.81289e+06,3.54772e+06,1.92656e+06,dav1d,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433240376,120,0,120,30,101.884,0,640,360,115.799,985122,3.79064e+06,1.90869e+06,2.46532e+06,1.95647e+06,dav1d,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433240576,126,0,126,30,102.297,0,640,360,121.698,1068409,3.33148e+06,1.97442e+06,1.16404e+06,1.91479e+06,dav1d,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433240777,132,0,132,30,102.728,0,640,360,127.12,1147988,3.16732e+06,2.02735e+06,5.12844e+06,2.07612e+06,dav1d,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433240977,138,0,138,30,103.131,0,640,360,132.634,1238397,3.61636e+06,2.09454e+06,2.44172e+06,2.09351e+06,dav1d,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433241177,144,0,144,30,103.385,0,640,360,138.904,1330531,3.68536e+06,2.15908e+06,3.11348e+06,2.13983e+06,dav1d,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433241377,150,0,150,30,103.715,0,640,360,144.775,1410587,3.20224e+06,2.19975e+06,5.04968e+06,2.26624e+06,dav1d,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433241577,156,0,156,30,104.237,0,640,360,150.8,1498216,3.50516e+06,2.24873e+06,4.25472e+06,2.34902e+06,dav1d,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433241778,162,0,162,30,104.647,0,640,360,157.308,1586957,3.53198e+06,2.29536e+06,3.48772e+06,2.39475e+06,dav1d,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433241978,168,0,168,30,104.955,0,640,360,162.441,1670307,3.334e+06,2.33161e+06,2.33704e+06,2.39253e+06,dav1d,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433242178,174,0,174,30,105.2,0,640,360,167.456,1750373,3.20264e+06,2.36098e+06,3.97896e+06,2.45124e+06,dav1d,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433242378,180,0,180,30,105.488,0,960,540,174.287,1845030,3.78628e+06,2.40748e+06,3.05016e+06,2.47261e+06,dav1d,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433242579,186,0,186,30,105.845,0,960,540,182.176,1931782,3.45282e+06,2.44066e+06,2.12903e+06,2.46071e+06,dav1d,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433242779,192,0,192,30,106.186,0,960,540,189.459,2004379,2.90388e+06,2.45484e+06,4.94328e+06,2.54338e+06,dav1d,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433242979,198,0,198,30,106.397,0,960,540,194.872,2055718,2.05356e+06,2.44292e+06,2.86628e+06,2.55379e+06,dav1d,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433243179,204,0,204,30,106.671,0,960,540,200.957,2119637,2.55676e+06,2.44621e+06,2.54192e+06,2.55342e+06,dav1d,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433243379,210,0,210,30,107.062,0,960,540,207.283,2176279,2.26568e+06,2.44114e+06,2.55092e+06,2.55334e+06,dav1d,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433243580,216,0,216,30,107.425,0,960,540,213.809,2247110,2.81914e+06,2.4515e+06,2.70078e+06,2.5577e+06,dav1d,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433243780,222,0,222,30,107.711,0,960,540,221.19,2329167,3.28228e+06,2.47356e+06,1.73908e+06,2.53433e+06,dav1d,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433243980,228,0,228,30,108.007,0,960,540,227.876,2404004,2.99348e+06,2.48701e+06,3.3302e+06,2.55642e+06,dav1d,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433244181,234,0,234,30,108.288,0,960,540,235.135,2485804,3.25572e+06,2.50648e+06,2.96637e+06,2.56754e+06,dav1d,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433244381,240,0,240,30,108.696,0,1280,720,243.842,2593334,4.3012e+06,2.55061e+06,3.68168e+06,2.59683e+06,dav1d,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433244581,246,0,246,30,109.156,0,1280,720,254.122,2744056,6.02888e+06,2.63408e+06,2.2002e+06,2.58667e+06,dav1d,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433244781,252,0,252,30,109.604,0,1280,720,263.455,2907636,6.5432e+06,2.7257e+06,7.5146e+06,2.70974e+06,dav1d,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433244982,258,0,258,30,109.951,0,1280,720,271.518,3029162,4.83686e+06,2.77428e+06,7.76848e+06,2.83361e+06,dav1d,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433245182,264,0,264,30,110.33,0,1280,720,279.6,3143241,4.56316e+06,2.81432e+06,4.11236e+06,2.86402e+06,dav1d,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433245382,270,0,270,30,110.946,0,1280,720,290.302,3304176,6.4374e+06,2.89364e+06,5.31184e+06,2.92089e+06,dav1d,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433245582,276,0,276,30,111.71,0,1280,720,303.584,3516691,8.5006e+06,3.01377e+06,4.99564e+06,2.96799e+06,dav1d,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433245783,282,0,282,30,112.817,0,1280,720,317.122,3745050,9.08892e+06,3.14182e+06,9.8929e+06,3.12248e+06,dav1d,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
